item1	   1   6   4  12   5   5   3   4   1  67   3   2   1   2   1   0   0   1   0   0   1   0   0   1   1 
item2	   2  48   2  60   1   3   2   2   1  22   3   1   1   1   1   0   0   1   0   0   1   0   0   1   2 
item3	   4  12   4  21   1   4   3   3   1  49   3   1   2   1   1   0   0   1   0   0   1   0   1   0   1 
item4	   1  42   2  79   1   4   3   4   2  45   3   1   2   1   1   0   0   0   0   0   0   0   0   1   1 
item5	   1  24   3  49   1   3   3   4   4  53   3   2   2   1   1   1   0   1   0   0   0   0   0   1   2 
item6	   4  36   2  91   5   3   3   4   4  35   3   1   2   2   1   0   0   1   0   0   0   0   1   0   1 
item7	   4  24   2  28   3   5   3   4   2  53   3   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
item8	   2  36   2  69   1   3   3   2   3  35   3   1   1   2   1   0   1   1   0   1   0   0   0   0   1 
item9	   4  12   2  31   4   4   1   4   1  61   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
item10	   2  30   4  52   1   1   4   2   3  28   3   2   1   1   1   1   0   1   0   0   1   0   0   0   2 
item11	   2  12   2  13   1   2   2   1   3  25   3   1   1   1   1   1   0   1   0   1   0   0   0   1   2 
item12	   1  48   2  43   1   2   2   4   2  24   3   1   1   1   1   0   0   1   0   1   0   0   0   1   2 
item13	   2  12   2  16   1   3   2   1   3  22   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
item14	   1  24   4  12   1   5   3   4   3  60   3   2   1   1   1   1   0   1   0   0   1   0   1   0   2 
item15	   1  15   2  14   1   3   2   4   3  28   3   1   1   1   1   1   0   1   0   1   0   0   0   1   1 
item16	   1  24   2  13   2   3   2   2   3  32   3   1   1   1   1   0   0   1   0   0   1   0   1   0   2 
item17	   4  24   4  24   5   5   3   4   2  53   3   2   1   1   1   0   0   1   0   0   1   0   0   1   1 
item18	   1  30   0  81   5   2   3   3   3  25   1   3   1   1   1   0   0   1   0   0   1   0   0   1   1 
item19	   2  24   2 126   1   5   2   2   4  44   3   1   1   2   1   0   1   1   0   0   0   0   0   0   2 
item20	   4  24   2  34   3   5   3   2   3  31   3   1   2   2   1   0   0   1   0   0   1   0   0   1   1 
item21	   4   9   4  21   1   3   3   4   3  48   3   3   1   2   1   1   0   1   0   0   1   0   0   1   1 
item22	   1   6   2  26   3   3   3   3   1  44   3   1   2   1   1   0   0   1   0   1   0   0   0   1   1 
item23	   1  10   4  22   1   2   3   3   1  48   3   2   2   1   2   1   0   1   0   1   0   0   1   0   1 
item24	   2  12   4  18   2   2   3   4   2  44   3   1   1   1   1   0   1   1   0   0   1   0   0   1   1 
item25	   4  10   4  21   5   3   4   1   3  26   3   2   1   1   2   0   0   1   0   0   1   0   0   1   1 
item26	   1   6   2  14   1   3   3   2   1  36   1   1   1   2   1   0   0   1   0   0   1   0   1   0   1 
item27	   4   6   0   4   1   5   4   4   3  39   3   1   1   1   1   0   0   1   0   0   1   0   1   0   1 
item28	   3  12   1   4   4   3   2   3   1  42   3   2   1   1   1   0   0   1   0   1   0   0   0   1   1 
item29	   2   7   2  24   1   3   3   2   1  34   3   1   1   1   1   0   0   0   0   0   1   0   0   1   1 
item30	   1  60   3  68   1   5   3   4   4  63   3   2   1   2   1   0   0   1   0   0   1   0   0   1   2 
item31	   2  18   2  19   4   2   4   3   1  36   1   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
item32	   1  24   2  40   1   3   3   2   3  27   2   1   1   1   1   0   0   1   0   0   1   0   0   1   1 
item33	   2  18   2  59   2   3   3   2   3  30   3   2   1   2   1   1   0   1   0   0   1   0   0   1   1 
item34	   4  12   4  13   5   5   3   4   4  57   3   1   1   1   1   0   0   1   0   1   0   0   1   0   1 
item35	   3  12   2  15   1   2   2   1   2  33   1   1   1   2   1   0   0   1   0   0   1   0   0   0   1 
item36	   2  45   4  47   1   2   3   2   2  25   3   2   1   1   1   0   0   1   0   0   1   0   1   0   2 
item37	   4  48   4  61   1   3   3   3   4  31   1   1   1   2   1   0   0   1   0   0   0   0   0   1   1 
item38	   3  18   2  21   1   3   3   2   1  37   2   1   1   1   1   0   0   0   1   0   1   0   0   1   2 
item39	   3  10   2  12   1   3   3   2   3  37   3   1   1   2   1   0   0   1   0   0   1   0   0   1   1 
